state,player,mcts_distribution
"[[[0. 0. 0. 1.]
  [0. 0. 0. 1.]
  [0. 0. 0. 0.]
  [0. 1. 0. 1.]]

 [[0. 0. 0. 0.]
  [0. 0. 1. 0.]
  [1. 0. 0. 1.]
  [0. 0. 1. 0.]]]",1,"[('0000', 0.16666666666666666), ('0001', 0.16666666666666666), ('0002', 0.16666666666666666), ('0100', 0.16666666666666666), ('0101', 0.16666666666666666), ('0201', 0.16666666666666666), ('0202', 0.0), ('0300', 0.0)]"
"[[[0. 0. 0. 1.]
  [0. 0. 0. 1.]
  [0. 0. 0. 0.]
  [0. 0. 0. 1.]]

 [[0. 0. 0. 0.]
  [0. 0. 0. 0.]
  [1. 0. 0. 1.]
  [0. 0. 1. 0.]]]",1,"[('0000', 0.07777777777777778), ('0001', 0.022222222222222223), ('0002', 0.13333333333333333), ('0100', 0.022222222222222223), ('0101', 0.022222222222222223), ('0102', 0.14444444444444443), ('0201', 0.07777777777777778), ('0202', 0.16666666666666666), ('0300', 0.1111111111111111), ('0301', 0.2222222222222222)]"
"[[[0. 0. 0. 1.]
  [0. 1. 0. 1.]
  [0. 0. 0. 0.]
  [0. 1. 0. 1.]]

 [[0. 0. 0. 0.]
  [0. 0. 1. 0.]
  [1. 0. 0. 1.]
  [0. 0. 1. 0.]]]",-1,"[('0000', 0.13043478260869565), ('0001', 0.17391304347826086), ('0002', 0.21739130434782608), ('0100', 0.13043478260869565), ('0201', 0.17391304347826086), ('0202', 0.13043478260869565), ('0300', 0.043478260869565216)]"
"[[[0. 0. 0. 1.]
  [0. 0. 0. 1.]
  [0. 0. 0. 0.]
  [0. 0. 0. 1.]]

 [[0. 0. 0. 0.]
  [0. 0. 0. 0.]
  [1. 0. 0. 0.]
  [0. 0. 1. 0.]]]",-1,"[('0000', 0.06060606060606061), ('0001', 0.07575757575757576), ('0002', 0.030303030303030304), ('0100', 0.030303030303030304), ('0101', 0.12121212121212122), ('0102', 0.030303030303030304), ('0201', 0.030303030303030304), ('0202', 0.10606060606060606), ('0203', 0.45454545454545453), ('0300', 0.030303030303030304), ('0301', 0.030303030303030304)]"
"[[[0. 0. 0. 1.]
  [0. 0. 0. 1.]
  [0. 0. 0. 0.]
  [0. 0. 0. 0.]]

 [[0. 0. 0. 0.]
  [0. 0. 0. 0.]
  [1. 0. 0. 0.]
  [0. 0. 1. 0.]]]",1,"[('0000', 0.10101010101010101), ('0001', 0.030303030303030304), ('0002', 0.08080808080808081), ('0100', 0.030303030303030304), ('0101', 0.04040404040404041), ('0102', 0.04040404040404041), ('0201', 0.1111111111111111), ('0202', 0.15151515151515152), ('0203', 0.12121212121212122), ('0300', 0.04040404040404041), ('0301', 0.08080808080808081), ('0303', 0.1717171717171717)]"
"[[[0. 0. 0. 0.]
  [0. 0. 0. 0.]
  [0. 0. 0. 0.]
  [0. 0. 0. 0.]]

 [[0. 0. 0. 0.]
  [0. 0. 0. 0.]
  [0. 0. 0. 0.]
  [0. 0. 0. 0.]]]",1,"[('0000', 0.020202020202020204), ('0001', 0.030303030303030304), ('0002', 0.10101010101010101), ('0003', 0.1414141414141414), ('0100', 0.050505050505050504), ('0101', 0.050505050505050504), ('0102', 0.12121212121212122), ('0103', 0.08080808080808081), ('0200', 0.10101010101010101), ('0201', 0.050505050505050504), ('0202', 0.030303030303030304), ('0203', 0.020202020202020204), ('0300', 0.09090909090909091), ('0301', 0.030303030303030304), ('0302', 0.050505050505050504), ('0303', 0.030303030303030304)]"
"[[[0. 0. 0. 1.]
  [0. 0. 0. 0.]
  [0. 0. 0. 0.]
  [0. 0. 0. 0.]]

 [[0. 0. 0. 0.]
  [0. 0. 0. 0.]
  [1. 0. 0. 0.]
  [0. 0. 0. 0.]]]",1,"[('0000', 0.0707070707070707), ('0001', 0.04040404040404041), ('0002', 0.020202020202020204), ('0100', 0.020202020202020204), ('0101', 0.030303030303030304), ('0102', 0.04040404040404041), ('0103', 0.2828282828282828), ('0201', 0.12121212121212122), ('0202', 0.08080808080808081), ('0203', 0.030303030303030304), ('0300', 0.030303030303030304), ('0301', 0.10101010101010101), ('0302', 0.10101010101010101), ('0303', 0.030303030303030304)]"
"[[[0. 0. 0. 1.]
  [0. 0. 0. 1.]
  [0. 0. 0. 0.]
  [0. 1. 0. 1.]]

 [[0. 0. 0. 0.]
  [0. 0. 0. 0.]
  [1. 0. 0. 1.]
  [0. 0. 1. 0.]]]",-1,"[('0000', 0.047619047619047616), ('0001', 0.047619047619047616), ('0002', 0.3333333333333333), ('0100', 0.047619047619047616), ('0101', 0.047619047619047616), ('0102', 0.3333333333333333), ('0201', 0.047619047619047616), ('0202', 0.047619047619047616), ('0300', 0.047619047619047616)]"
"[[[0. 0. 0. 1.]
  [0. 0. 0. 1.]
  [0. 0. 0. 0.]
  [0. 0. 0. 0.]]

 [[0. 0. 0. 0.]
  [0. 0. 0. 0.]
  [1. 0. 0. 0.]
  [0. 0. 0. 0.]]]",-1,"[('0000', 0.10101010101010101), ('0001', 0.030303030303030304), ('0002', 0.030303030303030304), ('0100', 0.030303030303030304), ('0101', 0.10101010101010101), ('0102', 0.09090909090909091), ('0201', 0.12121212121212122), ('0202', 0.1414141414141414), ('0203', 0.020202020202020204), ('0300', 0.0707070707070707), ('0301', 0.020202020202020204), ('0302', 0.15151515151515152), ('0303', 0.09090909090909091)]"
"[[[0. 0. 0. 1.]
  [0. 0. 0. 0.]
  [0. 0. 0. 0.]
  [0. 0. 0. 0.]]

 [[0. 0. 0. 0.]
  [0. 0. 0. 0.]
  [0. 0. 0. 0.]
  [0. 0. 0. 0.]]]",-1,"[('0000', 0.050505050505050504), ('0001', 0.020202020202020204), ('0002', 0.04040404040404041), ('0100', 0.04040404040404041), ('0101', 0.08080808080808081), ('0102', 0.04040404040404041), ('0103', 0.050505050505050504), ('0200', 0.15151515151515152), ('0201', 0.050505050505050504), ('0202', 0.0707070707070707), ('0203', 0.0707070707070707), ('0300', 0.08080808080808081), ('0301', 0.020202020202020204), ('0302', 0.09090909090909091), ('0303', 0.1414141414141414)]"
