state,player,mcts_distribution
"[[[0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [0. 1. 0. 0. 0.]
  [0. 0. 0. 0. 0.]]

 [[0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [0. 1. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]]]",1,"[('0000', 0.03003003003003003), ('0001', 0.021021021021021023), ('0002', 0.012012012012012012), ('0003', 0.03203203203203203), ('0004', 0.07607607607607608), ('0100', 0.03003003003003003), ('0101', 0.012012012012012012), ('0102', 0.018018018018018018), ('0103', 0.0960960960960961), ('0104', 0.04804804804804805), ('0200', 0.08008008008008008), ('0202', 0.09309309309309309), ('0203', 0.04604604604604605), ('0204', 0.014014014014014014), ('0300', 0.08308308308308308), ('0302', 0.02002002002002002), ('0303', 0.028028028028028028), ('0304', 0.0980980980980981), ('0400', 0.012012012012012012), ('0401', 0.02702702702702703), ('0402', 0.043043043043043044), ('0403', 0.043043043043043044), ('0404', 0.037037037037037035)]"
"[[[0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [0. 1. 0. 0. 1.]
  [0. 0. 0. 0. 0.]]

 [[0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [0. 1. 1. 0. 0.]
  [0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]]]",1,"[('0000', 0.03203203203203203), ('0001', 0.04904904904904905), ('0002', 0.015015015015015015), ('0003', 0.015015015015015015), ('0004', 0.04904904904904905), ('0100', 0.01701701701701702), ('0101', 0.03903903903903904), ('0102', 0.013013013013013013), ('0103', 0.08108108108108109), ('0104', 0.062062062062062065), ('0200', 0.026026026026026026), ('0203', 0.08808808808808809), ('0204', 0.06006006006006006), ('0300', 0.1091091091091091), ('0302', 0.16116116116116116), ('0303', 0.026026026026026026), ('0400', 0.03003003003003003), ('0401', 0.03203203203203203), ('0402', 0.05205205205205205), ('0403', 0.028028028028028028), ('0404', 0.015015015015015015)]"
"[[[0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 1.]
  [1. 1. 1. 0. 1.]
  [0. 0. 0. 0. 0.]]

 [[0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [1. 1. 1. 1. 0.]
  [0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]]]",-1,"[('0000', 0.1111111111111111), ('0001', 0.1111111111111111), ('0002', 0.1111111111111111), ('0003', 0.1111111111111111), ('0004', 0.1111111111111111), ('0100', 0.1111111111111111), ('0101', 0.1111111111111111), ('0102', 0.1111111111111111), ('0103', 0.1111111111111111), ('0104', 0.0), ('0303', 0.0), ('0400', 0.0), ('0401', 0.0), ('0402', 0.0), ('0403', 0.0), ('0404', 0.0)]"
"[[[0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [0. 1. 1. 0. 1.]
  [0. 0. 0. 0. 0.]]

 [[0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [0. 1. 1. 1. 0.]
  [0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]]]",1,"[('0000', 0.05305305305305305), ('0001', 0.01701701701701702), ('0002', 0.024024024024024024), ('0003', 0.024024024024024024), ('0004', 0.03903903903903904), ('0100', 0.02002002002002002), ('0101', 0.013013013013013013), ('0102', 0.05305305305305305), ('0103', 0.03003003003003003), ('0104', 0.009009009009009009), ('0200', 0.0940940940940941), ('0204', 0.15115115115115116), ('0300', 0.19519519519519518), ('0303', 0.01701701701701702), ('0400', 0.036036036036036036), ('0401', 0.03903903903903904), ('0402', 0.042042042042042045), ('0403', 0.12612612612612611), ('0404', 0.01701701701701702)]"
"[[[0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [1. 1. 1. 0. 1.]
  [0. 0. 0. 0. 0.]]

 [[0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [0. 1. 1. 1. 0.]
  [0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]]]",-1,"[('0000', 0.07063197026022305), ('0001', 0.011152416356877323), ('0002', 0.011152416356877323), ('0003', 0.06691449814126393), ('0004', 0.03345724907063197), ('0100', 0.06691449814126393), ('0101', 0.02973977695167286), ('0102', 0.06319702602230483), ('0103', 0.007434944237918215), ('0104', 0.022304832713754646), ('0200', 0.2825278810408922), ('0204', 0.04460966542750929), ('0303', 0.10780669144981413), ('0400', 0.040892193308550186), ('0401', 0.011152416356877323), ('0402', 0.06319702602230483), ('0403', 0.04460966542750929), ('0404', 0.022304832713754646)]"
"[[[0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [0. 1. 0. 0. 1.]
  [0. 0. 0. 0. 0.]]

 [[0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [0. 1. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]]]",-1,"[('0000', 0.06806806806806807), ('0001', 0.026026026026026026), ('0002', 0.024024024024024024), ('0003', 0.06406406406406406), ('0004', 0.15315315315315314), ('0100', 0.07807807807807808), ('0101', 0.018018018018018018), ('0102', 0.016016016016016016), ('0103', 0.037037037037037035), ('0104', 0.014014014014014014), ('0200', 0.026026026026026026), ('0202', 0.18018018018018017), ('0203', 0.037037037037037035), ('0204', 0.06806806806806807), ('0300', 0.057057057057057055), ('0302', 0.005005005005005005), ('0303', 0.03403403403403404), ('0400', 0.012012012012012012), ('0401', 0.022022022022022022), ('0402', 0.007007007007007007), ('0403', 0.01001001001001001), ('0404', 0.043043043043043044)]"
"[[[0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [0. 1. 1. 0. 1.]
  [0. 0. 0. 0. 0.]]

 [[0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [0. 1. 1. 0. 0.]
  [0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]]]",-1,"[('0000', 0.01901901901901902), ('0001', 0.014014014014014014), ('0002', 0.016016016016016016), ('0003', 0.042042042042042045), ('0004', 0.1001001001001001), ('0100', 0.003003003003003003), ('0101', 0.013013013013013013), ('0102', 0.006006006006006006), ('0103', 0.02902902902902903), ('0104', 0.21021021021021022), ('0200', 0.011011011011011011), ('0203', 0.2872872872872873), ('0204', 0.07907907907907907), ('0300', 0.014014014014014014), ('0303', 0.01901901901901902), ('0400', 0.03803803803803804), ('0401', 0.031031031031031032), ('0402', 0.04104104104104104), ('0403', 0.018018018018018018), ('0404', 0.009009009009009009)]"
"[[[0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]]

 [[0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]]]",1,"[('0000', 0.03803803803803804), ('0001', 0.011011011011011011), ('0002', 0.03203203203203203), ('0003', 0.009009009009009009), ('0004', 0.009009009009009009), ('0100', 0.013013013013013013), ('0101', 0.08808808808808809), ('0102', 0.04504504504504504), ('0103', 0.07807807807807808), ('0104', 0.04804804804804805), ('0200', 0.03903903903903904), ('0201', 0.02702702702702703), ('0202', 0.03903903903903904), ('0203', 0.011011011011011011), ('0204', 0.003003003003003003), ('0300', 0.09009009009009009), ('0301', 0.12012012012012012), ('0302', 0.018018018018018018), ('0303', 0.02702702702702703), ('0304', 0.016016016016016016), ('0400', 0.07707707707707707), ('0401', 0.07107107107107107), ('0402', 0.04804804804804805), ('0403', 0.015015015015015015), ('0404', 0.02702702702702703)]"
"[[[0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [1. 1. 1. 0. 1.]
  [0. 0. 0. 0. 0.]]

 [[0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [1. 1. 1. 1. 0.]
  [0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]]]",1,"[('0000', 0.039473684210526314), ('0001', 0.039473684210526314), ('0002', 0.039473684210526314), ('0003', 0.039473684210526314), ('0004', 0.039473684210526314), ('0100', 0.039473684210526314), ('0101', 0.10526315789473684), ('0102', 0.039473684210526314), ('0103', 0.039473684210526314), ('0104', 0.039473684210526314), ('0204', 0.13157894736842105), ('0303', 0.06578947368421052), ('0400', 0.06578947368421052), ('0401', 0.06578947368421052), ('0402', 0.039473684210526314), ('0403', 0.13157894736842105), ('0404', 0.039473684210526314)]"
"[[[0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [0. 1. 0. 0. 0.]
  [0. 0. 0. 0. 0.]]

 [[0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0.]]]",-1,"[('0000', 0.031031031031031032), ('0001', 0.022022022022022022), ('0002', 0.05305305305305305), ('0003', 0.036036036036036036), ('0004', 0.006006006006006006), ('0100', 0.04004004004004004), ('0101', 0.055055055055055056), ('0102', 0.06306306306306306), ('0103', 0.055055055055055056), ('0104', 0.044044044044044044), ('0200', 0.057057057057057055), ('0201', 0.22722722722722724), ('0202', 0.042042042042042045), ('0203', 0.042042042042042045), ('0204', 0.006006006006006006), ('0300', 0.031031031031031032), ('0302', 0.006006006006006006), ('0303', 0.031031031031031032), ('0304', 0.036036036036036036), ('0400', 0.04004004004004004), ('0401', 0.03803803803803804), ('0402', 0.006006006006006006), ('0403', 0.02002002002002002), ('0404', 0.012012012012012012)]"
