state,player,mcts_distribution
"[1, 2, 3, 4]",1,"[('1000', 0.05555555555555555), ('0100', 0.027777777777777776), ('0200', 0.05555555555555555), ('0010', 0.1527777777777778), ('0020', 0.125), ('0030', 0.027777777777777776), ('0001', 0.027777777777777776), ('0002', 0.1527777777777778), ('0003', 0.027777777777777776), ('0004', 0.3472222222222222)]"
"[1, 2, 3, 0]",-1,"[('1000', 0.2), ('0100', 0.05), ('0200', 0.3), ('0010', 0.35), ('0020', 0.05), ('0030', 0.05)]"
"[1, 2, 2, 0]",1,"[('1000', 0.42857142857142855), ('0100', 0.07142857142857142), ('0200', 0.14285714285714285), ('0010', 0.07142857142857142), ('0020', 0.2857142857142857)]"
"[0, 2, 2, 0]",-1,"[('0100', 0.125), ('0200', 0.125), ('0010', 0.5), ('0020', 0.25)]"
"[0, 2, 1, 0]",1,"[('0100', 0.3333333333333333), ('0200', 0.3333333333333333), ('0010', 0.3333333333333333)]"
"[0, 1, 1, 0]",-1,"[('0100', 0.5), ('0010', 0.5)]"
"[1, 2, 3, 4]",1,"[('1000', 0.14285714285714285), ('0100', 0.09183673469387756), ('0200', 0.05102040816326531), ('0010', 0.1683673469387755), ('0020', 0.14285714285714285), ('0030', 0.030612244897959183), ('0001', 0.08163265306122448), ('0002', 0.1836734693877551), ('0003', 0.015306122448979591), ('0004', 0.09183673469387756)]"
"[1, 2, 3, 2]",-1,"[('1000', 0.2), ('0100', 0.02857142857142857), ('0200', 0.02857142857142857), ('0010', 0.11428571428571428), ('0020', 0.2), ('0030', 0.02857142857142857), ('0001', 0.08571428571428572), ('0002', 0.3142857142857143)]"
"[1, 2, 3, 0]",1,"[('1000', 0.09090909090909091), ('0100', 0.22727272727272727), ('0200', 0.13636363636363635), ('0010', 0.09090909090909091), ('0020', 0.2727272727272727), ('0030', 0.18181818181818182)]"
"[1, 2, 1, 0]",-1,"[('1000', 0.07692307692307693), ('0100', 0.7692307692307693), ('0200', 0.07692307692307693), ('0010', 0.07692307692307693)]"
"[1, 1, 1, 0]",1,"[('1000', 0.3333333333333333), ('0100', 0.3333333333333333), ('0010', 0.3333333333333333)]"
"[0, 1, 1, 0]",-1,"[('0100', 0.5), ('0010', 0.5)]"
"[1, 2, 3, 4]",1,"[('1000', 0.1388888888888889), ('0100', 0.037037037037037035), ('0200', 0.12037037037037036), ('0010', 0.06481481481481481), ('0020', 0.10185185185185185), ('0030', 0.18518518518518517), ('0001', 0.14814814814814814), ('0002', 0.018518518518518517), ('0003', 0.16666666666666666), ('0004', 0.018518518518518517)]"
